bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000191,20,0,0.9,3,7,10000,0,1,0.97,4,0,2,,保证,否,自置,1,0.67,0,1.3850499324
GOOD,A000192,20,0,0.37,2,4,10000,1,2,0.96,5,1,1,,保证,否,自置,4,0.16,0,1.3102365127
BAD,A000193,20,1,0.79,2,6,178000,0,1,1,2,0,0,,保证,否,自置,2,2.17,0,2.1413964046
GOOD,A000194,20,0,0.32,4,2,100000,1,1,0.96,3,0,0,,保证,否,自置,0,0.81,0,0
BAD,A000195,20,1,0.32,2,8,10000,1,1,0.97,7,0,0,,保证,否,自置,0,0.41,0,2.2771712068
GOOD,A000196,20,0,0.46,7,14,490341.3188,1,2,0.96,8,0,1,,保证,否,自置,5,0.14,0,1.5961146268
BAD,A000197,10/MISS,1,0.46,1,8,130000,0,1,0.98,11,0,0,,信用,否,其他,4,0.5,0,0.0865773693
GOOD,A000198,20,0,0.22,0,1,80000,0,2,0.94,3,0,0,,信用,否,其他,10,2,0,0
GOOD,A000199,20,0,0.97,4,2,30000,0,2,1,2,0,0,,保证,否,自置,5,0.67,0,2.9810559854
GOOD,A000200,20,0,0.81,3,7,182000,0,1,0.99,6,0,0,,保证,否,自置,2,0.75,0,0
GOOD,A000201,20,0,0.77,3,4,100000,0,2,0.92,3,0,0,,信用,否,其他,,0.3,0,0
BAD,A000202,20,1,0.58,2,9,50000,0,2,0.97,7,0,1,,保证,否,其他,4,0.83,0,2.4185990265
BAD,A000203,20,1,0.27,0,0,120000,9,11,0.51,4,1,0,0,保证,否,自置,5,0.5,0,0
GOOD,A000204,10/MISS,0,0.85,3,5,50000,0,1,1,3,0,0,321.01,保证,否,自置,2,0.5,0,0
GOOD,A000205,20,0,0.74,1,2,10000,1,1,0.98,5,1,1,0,保证,否,自置,4,0.75,0,2.4488996278
GOOD,A000206,20,0,0.58,3,3,10000,1,1,0.94,2,0,0,,保证,否,自置,7,0.33,0,2.1560265048
GOOD,A000207,20,0,0.83,3,4,0,1,1,0.98,3,0,0,,保证,否,自置,3,10,0,0.7994657528
GOOD,A000208,20,0,0.7,0,6,0,0,2,1,9,0,0,,保证,否,自置,6,10,0,2.7051110687
GOOD,A000209,10/MISS,0,0.37,0,13,50000,0,1,1,12,0,0,,信用,否,自置,4,0.48,0,0
GOOD,A000210,10/MISS,0,0.53,4,4,60000,0,2,0.8,7,0,0,,保证,否,自置,1,0.5,0,0
BAD,A000211,20,1,0.76,3,6,150100,0,3,0.98,4,0,0,,保证,否,自置,4,0.75,0,1.9081311191
GOOD,A000212,20,0,0.86,2,2,50000,1,2,0.89,4,2,3,,保证,否,自置,6,0.33,0,1.2074092766
GOOD,A000213,20,0,0.57,3,12,25000,0,2,0.99,7,0,1,842.55,保证,否,自置,3,0.15,0,2.677747782
BAD,A000214,20,1,0.63,2,1,150000,0,1,1,7,0,0,,信用,否,自置,3,1.05,0,0
GOOD,A000215,20,0,1,2,7,30000,1,1,0.96,2,0,0,4966.91,保证,否,自置,3,0.4,0,4.2924410243
GOOD,A000216,20,0,0,0,2,30000,3,6,0.64,1,0,0,,保证,否,自置,17,10,0,0
GOOD,A000217,20,0,0.86,0,8,140000,0,2,0.97,5,0,1,,保证,否,自置,12,1,0,0
BAD,A000218,20,1,0.57,5,6,50000,0,2,0.94,4,1,1,,保证,否,自置,8,0.33,0,0
GOOD,A000219,20,0,0.99,0,1,50000,1,1,0.98,3,0,1,,保证,否,自置,1,0.67,0,4.7682260673
GOOD,A000220,10/MISS,0,0.57,1,4,1300,0,1,1,7,0,0,,信用,否,自置,0,10,0,0
GOOD,A000221,10/MISS,0,0,0,1,280000,1,0,0.83,0,0,0,666.64,保证,否,自置,6,0.93,0,0
